PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket
60,3,"Goodwin, Master. William Frederick",male,11.0,5,2,CA 2144
61,3,"Sirayanian, Mr. Orsen",male,22.0,0,0,2669
62,1,"Icard, Miss. Amelie",female,38.0,0,0,113572
63,1,"Harris, Mr. Henry Birkhardt",male,45.0,1,0,36973
64,3,"Skoog, Master. Harald",male,4.0,3,2,347088
65,1,"Stewart, Mr. Albert A",male,,0,0,PC 17605
66,3,"Moubarek, Master. Gerios",male,,1,1,2661
67,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0,0,C.A. 29395
68,3,"Crease, Mr. Ernest James",male,19.0,0,0,S.P. 3464
69,3,"Andersson, Miss. Erna Alexandra",female,17.0,4,2,3101281
70,3,"Kink, Mr. Vincenz",male,26.0,2,0,315151
71,2,"Jenkin, Mr. Stephen Curnow",male,32.0,0,0,C.A. 33111
72,3,"Goodwin, Miss. Lillian Amy",female,16.0,5,2,CA 2144
73,2,"Hood, Mr. Ambrose Jr",male,21.0,0,0,S.O.C. 14879
74,3,"Chronopoulos, Mr. Apostolos",male,26.0,1,0,2680
75,3,"Bing, Mr. Lee",male,32.0,0,0,1601
76,3,"Moen, Mr. Sigurd Hansen",male,25.0,0,0,348123
77,3,"Staneff, Mr. Ivan",male,,0,0,349208
78,3,"Moutal, Mr. Rahamin Haim",male,,0,0,374746
79,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738
80,3,"Dowdell, Miss. Elizabeth",female,30.0,0,0,364516
81,3,"Waelens, Mr. Achille",male,22.0,0,0,345767
82,3,"Sheerlinck, Mr. Jan Baptist",male,29.0,0,0,345779
83,3,"McDermott, Miss. Brigdet Delia",female,,0,0,330932
84,1,"Carrau, Mr. Francisco M",male,28.0,0,0,113059
85,2,"Ilett, Miss. Bertha",female,17.0,0,0,SO/C 14885
86,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3,0,3101278
87,3,"Ford, Mr. William Neal",male,16.0,1,3,W./C. 6608
88,3,"Slocovski, Mr. Selman Francis",male,,0,0,SOTON/OQ 392086
89,1,"Fortune, Miss. Mabel Helen",female,23.0,3,2,19950
90,3,"Celotti, Mr. Francesco",male,24.0,0,0,343275
91,3,"Christmann, Mr. Emil",male,29.0,0,0,343276
92,3,"Andreasson, Mr. Paul Edvin",male,20.0,0,0,347466
93,1,"Chaffee, Mr. Herbert Fuller",male,46.0,1,0,W.E.P. 5734
94,3,"Dean, Mr. Bertram Frank",male,26.0,1,2,C.A. 2315
95,3,"Coxon, Mr. Daniel",male,59.0,0,0,364500
96,3,"Shorney, Mr. Charles Joseph",male,,0,0,374910
97,1,"Goldschmidt, Mr. George B",male,71.0,0,0,PC 17754
98,1,"Greenfield, Mr. William Bertram",male,23.0,0,1,PC 17759
99,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,0,1,231919
100,2,"Kantor, Mr. Sinai",male,34.0,1,0,244367
101,3,"Petranec, Miss. Matilda",female,28.0,0,0,349245
102,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,,0,0,349215
103,1,"White, Mr. Richard Frasar",male,21.0,0,1,35281
104,3,"Johansson, Mr. Gustaf Joel",male,33.0,0,0,7540
105,3,"Gustafsson, Mr. Anders Vilhelm",male,37.0,2,0,3101276
106,3,"Mionoff, Mr. Stoytcho",male,28.0,0,0,349207
107,3,"Salkjelsvik, Miss. Anna Kristine",female,21.0,0,0,343120
108,3,"Moss, Mr. Albert Johan",male,,0,0,312991
109,3,"Rekic, Mr. Tido",male,38.0,0,0,349249
110,3,"Moran, Miss. Bertha",female,,1,0,371110
111,1,"Porter, Mr. Walter Chamberlain",male,47.0,0,0,110465
112,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665
113,3,"Barton, Mr. David John",male,22.0,0,0,324669
114,3,"Jussila, Miss. Katriina",female,20.0,1,0,4136
115,3,"Attalah, Miss. Malake",female,17.0,0,0,2627
116,3,"Pekoniemi, Mr. Edvard",male,21.0,0,0,STON/O 2. 3101294
117,3,"Connors, Mr. Patrick",male,70.5,0,0,370369
118,2,"Turpin, Mr. William John Robert",male,29.0,1,0,11668
119,1,"Baxter, Mr. Quigg Edmond",male,24.0,0,1,PC 17558
120,3,"Andersson, Miss. Ellis Anna Maria",female,2.0,4,2,347082
121,2,"Hickman, Mr. Stanley George",male,21.0,2,0,S.O.C. 14879
122,3,"Moore, Mr. Leonard Charles",male,,0,0,A4. 54510
123,2,"Nasser, Mr. Nicholas",male,32.5,1,0,237736
124,2,"Webber, Miss. Susan",female,32.5,0,0,27267
125,1,"White, Mr. Percival Wayland",male,54.0,0,1,35281
126,3,"Nicola-Yarred, Master. Elias",male,12.0,1,0,2651
127,3,"McMahon, Mr. Martin",male,,0,0,370372
128,3,"Madsen, Mr. Fridtjof Arne",male,24.0,0,0,C 17369
129,3,"Peter, Miss. Anna",female,,1,1,2668
130,3,"Ekstrom, Mr. Johan",male,45.0,0,0,347061
131,3,"Drazenoic, Mr. Jozef",male,33.0,0,0,349241
132,3,"Coelho, Mr. Domingos Fernandeo",male,20.0,0,0,SOTON/O.Q. 3101307
133,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0,1,0,A/5. 3337
134,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,1,0,228414
135,2,"Sobey, Mr. Samuel James Hayden",male,25.0,0,0,C.A. 29178
136,2,"Richard, Mr. Emile",male,23.0,0,0,SC/PARIS 2133
137,1,"Newsom, Miss. Helen Monypeny",female,19.0,0,2,11752
138,1,"Futrelle, Mr. Jacques Heath",male,37.0,1,0,113803
139,3,"Osen, Mr. Olaf Elon",male,16.0,0,0,7534
140,1,"Giglio, Mr. Victor",male,24.0,0,0,PC 17593
141,3,"Boulos, Mrs. Joseph (Sultana)",female,,0,2,2678
142,3,"Nysten, Miss. Anna Sofia",female,22.0,0,0,347081
143,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0,1,0,STON/O2. 3101279
144,3,"Burke, Mr. Jeremiah",male,19.0,0,0,365222
145,2,"Andrew, Mr. Edgardo Samuel",male,18.0,0,0,231945
146,2,"Nicholls, Mr. Joseph Charles",male,19.0,1,1,C.A. 33112
147,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0,0,0,350043
148,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9.0,2,2,W./C. 6608
149,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,230080
150,2,"Byles, Rev. Thomas Roussel Davids",male,42.0,0,0,244310
151,2,"Bateman, Rev. Robert James",male,51.0,0,0,S.O.P. 1166
152,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,1,0,113776
153,3,"Meo, Mr. Alfonzo",male,55.5,0,0,A.5. 11206
154,3,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,A/5. 851
155,3,"Olsen, Mr. Ole Martin",male,,0,0,Fa 265302
156,1,"Williams, Mr. Charles Duane",male,51.0,0,1,PC 17597
157,3,"Gilnagh, Miss. Katherine ""Katie""",female,16.0,0,0,35851
158,3,"Corn, Mr. Harry",male,30.0,0,0,SOTON/OQ 392090
159,3,"Smiljanic, Mr. Mile",male,,0,0,315037
160,3,"Sage, Master. Thomas Henry",male,,8,2,CA. 2343
161,3,"Cribb, Mr. John Hatfield",male,44.0,0,1,371362
162,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0,0,0,C.A. 33595
163,3,"Bengtsson, Mr. John Viktor",male,26.0,0,0,347068
164,3,"Calic, Mr. Jovo",male,17.0,0,0,315093
165,3,"Panula, Master. Eino Viljami",male,1.0,4,1,3101295
166,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9.0,0,2,363291
167,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,0,1,113505
168,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45.0,1,4,347088
169,1,"Baumann, Mr. John D",male,,0,0,PC 17318
170,3,"Ling, Mr. Lee",male,28.0,0,0,1601
171,1,"Van der hoef, Mr. Wyckoff",male,61.0,0,0,111240
172,3,"Rice, Master. Arthur",male,4.0,4,1,382652
173,3,"Johnson, Miss. Eleanor Ileen",female,1.0,1,1,347742
174,3,"Sivola, Mr. Antti Wilhelm",male,21.0,0,0,STON/O 2. 3101280
175,1,"Smith, Mr. James Clinch",male,56.0,0,0,17764
176,3,"Klasen, Mr. Klas Albin",male,18.0,1,1,350404
177,3,"Lefebre, Master. Henry Forbes",male,,3,1,4133
178,1,"Isham, Miss. Ann Elizabeth",female,50.0,0,0,PC 17595
179,2,"Hale, Mr. Reginald",male,30.0,0,0,250653
180,3,"Leonard, Mr. Lionel",male,36.0,0,0,LINE
181,3,"Sage, Miss. Constance Gladys",female,,8,2,CA. 2343
182,2,"Pernot, Mr. Rene",male,,0,0,SC/PARIS 2131
183,3,"Asplund, Master. Clarence Gustaf Hugo",male,9.0,4,2,347077
184,2,"Becker, Master. Richard F",male,1.0,2,1,230136
185,3,"Kink-Heilmann, Miss. Luise Gretchen",female,4.0,0,2,315153
186,1,"Rood, Mr. Hugh Roscoe",male,,0,0,113767
187,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,,1,0,370365
188,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45.0,0,0,111428
189,3,"Bourke, Mr. John",male,40.0,1,1,364849
190,3,"Turcin, Mr. Stjepan",male,36.0,0,0,349247
191,2,"Pinsky, Mrs. (Rosa)",female,32.0,0,0,234604
192,2,"Carbines, Mr. William",male,19.0,0,0,28424
193,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0,1,0,350046
194,2,"Navratil, Master. Michel M",male,3.0,1,1,230080
195,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,0,0,PC 17610
196,1,"Lurette, Miss. Elise",female,58.0,0,0,PC 17569
197,3,"Mernagh, Mr. Robert",male,,0,0,368703
198,3,"Olsen, Mr. Karl Siegwart Andreas",male,42.0,0,1,4579
199,3,"Madigan, Miss. Margaret ""Maggie""",female,,0,0,370370
200,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24.0,0,0,248747
201,3,"Vande Walle, Mr. Nestor Cyriel",male,28.0,0,0,345770
202,3,"Sage, Mr. Frederick",male,,8,2,CA. 2343
203,3,"Johanson, Mr. Jakob Alfred",male,34.0,0,0,3101264
204,3,"Youseff, Mr. Gerious",male,45.5,0,0,2628
205,3,"Cohen, Mr. Gurshon ""Gus""",male,18.0,0,0,A/5 3540
206,3,"Strom, Miss. Telma Matilda",female,2.0,0,1,347054
207,3,"Backstrom, Mr. Karl Alfred",male,32.0,1,0,3101278
208,3,"Albimona, Mr. Nassef Cassem",male,26.0,0,0,2699
209,3,"Carr, Miss. Helen ""Ellen""",female,16.0,0,0,367231
210,1,"Blank, Mr. Henry",male,40.0,0,0,112277
211,3,"Ali, Mr. Ahmed",male,24.0,0,0,SOTON/O.Q. 3101311
212,2,"Cameron, Miss. Clear Annie",female,35.0,0,0,F.C.C. 13528
213,3,"Perkin, Mr. John Henry",male,22.0,0,0,A/5 21174
214,2,"Givard, Mr. Hans Kristensen",male,30.0,0,0,250646
215,3,"Kiernan, Mr. Philip",male,,1,0,367229
216,1,"Newell, Miss. Madeleine",female,31.0,1,0,35273
217,3,"Honkanen, Miss. Eliina",female,27.0,0,0,STON/O2. 3101283
218,2,"Jacobsohn, Mr. Sidney Samuel",male,42.0,1,0,243847
219,1,"Bazzani, Miss. Albina",female,32.0,0,0,11813
220,2,"Harris, Mr. Walter",male,30.0,0,0,W/C 14208
221,3,"Sunderland, Mr. Victor Francis",male,16.0,0,0,SOTON/OQ 392089
222,2,"Bracken, Mr. James H",male,27.0,0,0,220367
223,3,"Green, Mr. George Henry",male,51.0,0,0,21440
224,3,"Nenkoff, Mr. Christo",male,,0,0,349234
225,1,"Hoyt, Mr. Frederick Maxfield",male,38.0,1,0,19943
226,3,"Berglund, Mr. Karl Ivar Sven",male,22.0,0,0,PP 4348
227,2,"Mellors, Mr. William John",male,19.0,0,0,SW/PP 751
228,3,"Lovell, Mr. John Hall (""Henry"")",male,20.5,0,0,A/5 21173
229,2,"Fahlstrom, Mr. Arne Jonas",male,18.0,0,0,236171
230,3,"Lefebre, Miss. Mathilde",female,,3,1,4133
231,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35.0,1,0,36973
232,3,"Larsson, Mr. Bengt Edvin",male,29.0,0,0,347067
233,2,"Sjostedt, Mr. Ernst Adolf",male,59.0,0,0,237442
234,3,"Asplund, Miss. Lillian Gertrud",female,5.0,4,2,347077
235,2,"Leyson, Mr. Robert William Norman",male,24.0,0,0,C.A. 29566
236,3,"Harknett, Miss. Alice Phoebe",female,,0,0,W./C. 6609
237,2,"Hold, Mr. Stephen",male,44.0,1,0,26707
238,2,"Collyer, Miss. Marjorie ""Lottie""",female,8.0,0,2,C.A. 31921
239,2,"Pengelly, Mr. Frederick William",male,19.0,0,0,28665
240,2,"Hunt, Mr. George Henry",male,33.0,0,0,SCO/W 1585
241,3,"Zabour, Miss. Thamine",female,,1,0,2665
242,3,"Murphy, Miss. Katherine ""Kate""",female,,1,0,367230
243,2,"Coleridge, Mr. Reginald Charles",male,29.0,0,0,W./C. 14263
244,3,"Maenpaa, Mr. Matti Alexanteri",male,22.0,0,0,STON/O 2. 3101275
245,3,"Attalah, Mr. Sleiman",male,30.0,0,0,2694
246,1,"Minahan, Dr. William Edward",male,44.0,2,0,19928
247,3,"Lindahl, Miss. Agda Thorilda Viktoria",female,25.0,0,0,347071
248,2,"Hamalainen, Mrs. William (Anna)",female,24.0,0,2,250649
249,1,"Beckwith, Mr. Richard Leonard",male,37.0,1,1,11751
250,2,"Carter, Rev. Ernest Courtenay",male,54.0,1,0,244252
251,3,"Reed, Mr. James George",male,,0,0,362316
252,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29.0,1,1,347054
253,1,"Stead, Mr. William Thomas",male,62.0,0,0,113514
254,3,"Lobb, Mr. William Arthur",male,30.0,1,0,A/5. 3336
255,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41.0,0,2,370129
256,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29.0,0,2,2650
257,1,"Thorne, Mrs. Gertrude Maybelle",female,,0,0,PC 17585
258,1,"Cherry, Miss. Gladys",female,30.0,0,0,110152
259,1,"Ward, Miss. Anna",female,35.0,0,0,PC 17755
260,2,"Parrish, Mrs. (Lutie Davis)",female,50.0,0,1,230433
261,3,"Smith, Mr. Thomas",male,,0,0,384461
262,3,"Asplund, Master. Edvin Rojj Felix",male,3.0,4,2,347077
263,1,"Taussig, Mr. Emil",male,52.0,1,1,110413
264,1,"Harrison, Mr. William",male,40.0,0,0,112059
265,3,"Henry, Miss. Delia",female,,0,0,382649
266,2,"Reeves, Mr. David",male,36.0,0,0,C.A. 17248
267,3,"Panula, Mr. Ernesti Arvid",male,16.0,4,1,3101295
268,3,"Persson, Mr. Ernst Ulrik",male,25.0,1,0,347083
269,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58.0,0,1,PC 17582
270,1,"Bissette, Miss. Amelia",female,35.0,0,0,PC 17760
271,1,"Cairns, Mr. Alexander",male,,0,0,113798
272,3,"Tornquist, Mr. William Henry",male,25.0,0,0,LINE
273,2,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41.0,0,1,250644
274,1,"Natsch, Mr. Charles H",male,37.0,0,1,PC 17596
275,3,"Healy, Miss. Hanora ""Nora""",female,,0,0,370375
276,1,"Andrews, Miss. Kornelia Theodosia",female,63.0,1,0,13502
277,3,"Lindblom, Miss. Augusta Charlotta",female,45.0,0,0,347073
278,2,"Parkes, Mr. Francis ""Frank""",male,,0,0,239853
279,3,"Rice, Master. Eric",male,7.0,4,1,382652
280,3,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35.0,1,1,C.A. 2673
281,3,"Duane, Mr. Frank",male,65.0,0,0,336439
282,3,"Olsson, Mr. Nils Johan Goransson",male,28.0,0,0,347464
283,3,"de Pelsmaeker, Mr. Alfons",male,16.0,0,0,345778
284,3,"Dorking, Mr. Edward Arthur",male,19.0,0,0,A/5. 10482
285,1,"Smith, Mr. Richard William",male,,0,0,113056
286,3,"Stankovic, Mr. Ivan",male,33.0,0,0,349239
287,3,"de Mulder, Mr. Theodore",male,30.0,0,0,345774
288,3,"Naidenoff, Mr. Penko",male,22.0,0,0,349206
289,2,"Hosono, Mr. Masabumi",male,42.0,0,0,237798
290,3,"Connolly, Miss. Kate",female,22.0,0,0,370373
291,1,"Barber, Miss. Ellen ""Nellie""",female,26.0,0,0,19877
292,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19.0,1,0,11967
293,2,"Levy, Mr. Rene Jacques",male,36.0,0,0,SC/Paris 2163
294,3,"Haas, Miss. Aloisia",female,24.0,0,0,349236
295,3,"Mineff, Mr. Ivan",male,24.0,0,0,349233
296,1,"Lewy, Mr. Ervin G",male,,0,0,PC 17612
297,3,"Hanna, Mr. Mansour",male,23.5,0,0,2693
298,1,"Allison, Miss. Helen Loraine",female,2.0,1,2,113781
299,1,"Saalfeld, Mr. Adolphe",male,,0,0,19988
300,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50.0,0,1,PC 17558
301,3,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,,0,0,9234
302,3,"McCoy, Mr. Bernard",male,,2,0,367226
303,3,"Johnson, Mr. William Cahoone Jr",male,19.0,0,0,LINE
304,2,"Keane, Miss. Nora A",female,,0,0,226593
305,3,"Williams, Mr. Howard Hugh ""Harry""",male,,0,0,A/5 2466
306,1,"Allison, Master. Hudson Trevor",male,0.92,1,2,113781
307,1,"Fleming, Miss. Margaret",female,,0,0,17421
308,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17.0,1,0,PC 17758
309,2,"Abelson, Mr. Samuel",male,30.0,1,0,P/PP 3381
310,1,"Francatelli, Miss. Laura Mabel",female,30.0,0,0,PC 17485
311,1,"Hays, Miss. Margaret Bechstein",female,24.0,0,0,11767
312,1,"Ryerson, Miss. Emily Borie",female,18.0,2,2,PC 17608
313,2,"Lahtinen, Mrs. William (Anna Sylfven)",female,26.0,1,1,250651
314,3,"Hendekovic, Mr. Ignjac",male,28.0,0,0,349243
315,2,"Hart, Mr. Benjamin",male,43.0,1,1,F.C.C. 13529
316,3,"Nilsson, Miss. Helmina Josefina",female,26.0,0,0,347470
317,2,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24.0,1,0,244367
318,2,"Moraweck, Dr. Ernest",male,54.0,0,0,29011
319,1,"Wick, Miss. Mary Natalie",female,31.0,0,2,36928
320,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40.0,1,1,16966
321,3,"Dennis, Mr. Samuel",male,22.0,0,0,A/5 21172
322,3,"Danoff, Mr. Yoto",male,27.0,0,0,349219
323,2,"Slayter, Miss. Hilda Mary",female,30.0,0,0,234818
324,2,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22.0,1,1,248738
325,3,"Sage, Mr. George John Jr",male,,8,2,CA. 2343
326,1,"Young, Miss. Marie Grice",female,36.0,0,0,PC 17760
327,3,"Nysveen, Mr. Johan Hansen",male,61.0,0,0,345364
328,2,"Ball, Mrs. (Ada E Hall)",female,36.0,0,0,28551
329,3,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,31.0,1,1,363291
330,1,"Hippach, Miss. Jean Gertrude",female,16.0,0,1,111361
331,3,"McCoy, Miss. Agnes",female,,2,0,367226
332,1,"Partner, Mr. Austen",male,45.5,0,0,113043
333,1,"Graham, Mr. George Edward",male,38.0,0,1,PC 17582
334,3,"Vander Planke, Mr. Leo Edmondus",male,16.0,2,0,345764
335,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,,1,0,PC 17611
336,3,"Denkoff, Mr. Mitto",male,,0,0,349225
337,1,"Pears, Mr. Thomas Clinton",male,29.0,1,0,113776
338,1,"Burns, Miss. Elizabeth Margaret",female,41.0,0,0,16966
339,3,"Dahl, Mr. Karl Edwart",male,45.0,0,0,7598
340,1,"Blackwell, Mr. Stephen Weart",male,45.0,0,0,113784
341,2,"Navratil, Master. Edmond Roger",male,2.0,1,1,230080
342,1,"Fortune, Miss. Alice Elizabeth",female,24.0,3,2,19950
343,2,"Collander, Mr. Erik Gustaf",male,28.0,0,0,248740
344,2,"Sedgwick, Mr. Charles Frederick Waddington",male,25.0,0,0,244361
345,2,"Fox, Mr. Stanley Hubert",male,36.0,0,0,229236
346,2,"Brown, Miss. Amelia ""Mildred""",female,24.0,0,0,248733
347,2,"Smith, Miss. Marion Elsie",female,40.0,0,0,31418
348,3,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,,1,0,386525
349,3,"Coutts, Master. William Loch ""William""",male,3.0,1,1,C.A. 37671
350,3,"Dimic, Mr. Jovan",male,42.0,0,0,315088
351,3,"Odahl, Mr. Nils Martin",male,23.0,0,0,7267
352,1,"Williams-Lambert, Mr. Fletcher Fellows",male,,0,0,113510
353,3,"Elias, Mr. Tannous",male,15.0,1,1,2695
354,3,"Arnold-Franchi, Mr. Josef",male,25.0,1,0,349237
355,3,"Yousif, Mr. Wazli",male,,0,0,2647
356,3,"Vanden Steen, Mr. Leo Peter",male,28.0,0,0,345783
357,1,"Bowerman, Miss. Elsie Edith",female,22.0,0,1,113505
358,2,"Funk, Miss. Annie Clemmer",female,38.0,0,0,237671
359,3,"McGovern, Miss. Mary",female,,0,0,330931
360,3,"Mockler, Miss. Helen Mary ""Ellie""",female,,0,0,330980
361,3,"Skoog, Mr. Wilhelm",male,40.0,1,4,347088
362,2,"del Carlo, Mr. Sebastiano",male,29.0,1,0,SC/PARIS 2167
363,3,"Barbara, Mrs. (Catherine David)",female,45.0,0,1,2691
364,3,"Asim, Mr. Adola",male,35.0,0,0,SOTON/O.Q. 3101310
365,3,"O'Brien, Mr. Thomas",male,,1,0,370365
366,3,"Adahl, Mr. Mauritz Nils Martin",male,30.0,0,0,C 7076
367,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60.0,1,0,110813
368,3,"Moussa, Mrs. (Mantoura Boulos)",female,,0,0,2626
369,3,"Jermyn, Miss. Annie",female,,0,0,14313
370,1,"Aubart, Mme. Leontine Pauline",female,24.0,0,0,PC 17477
371,1,"Harder, Mr. George Achilles",male,25.0,1,0,11765
372,3,"Wiklund, Mr. Jakob Alfred",male,18.0,1,0,3101267
373,3,"Beavan, Mr. William Thomas",male,19.0,0,0,323951
374,1,"Ringhini, Mr. Sante",male,22.0,0,0,PC 17760
375,3,"Palsson, Miss. Stina Viola",female,3.0,3,1,349909
376,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,,1,0,PC 17604
377,3,"Landergren, Miss. Aurora Adelia",female,22.0,0,0,C 7077
378,1,"Widener, Mr. Harry Elkins",male,27.0,0,2,113503
379,3,"Betros, Mr. Tannous",male,20.0,0,0,2648
380,3,"Gustafsson, Mr. Karl Gideon",male,19.0,0,0,347069
